"session","updated","events","turns","user_msgs","elapsed","input","output","cache_create","cache_read","sum_tokens","tool_calls"
"0264e1ed-10e7-4646-a4e5-e1db68e634de","2026-06-02 22:10:17","99","38","30","01:06:42","62","37901","92346","1326858","1457167","18"
"3149569a-96ac-4a7c-9457-13b253bc3067","2026-06-02 22:16:05","67","24","17","00:04:02","43","9035","43785","711509","764372","13"
"3f282cbc-bbc5-4a20-9e7c-00003efe1233","2026-06-02 22:32:29","470","186","107","06:29:22","104655","422956","1710415","19041780","21279806","88"
"rollout-2026-06-02T22-56-23-019e8a1f-8ba5-7992-b2f8-7cbbd36fbce6","2026-06-02 23:10:48","221","0","0","00:13:53","0","0","0","0","0","0"
"674e79b0-7762-40a1-ba01-cf59c2c6c005","2026-06-03 21:35:25","59","17","11","00:06:26","27","36240","106268","458244","600779","8"
"rollout-2026-06-03T23-35-58-019e8f6a-249c-77e2-8517-08fbcec8d72b","2026-06-03 23:37:45","49","0","0","00:01:31","0","0","0","0","0","0"
"305a500d-4df4-4379-a0c6-3b8827949318","2026-06-04 22:46:00","200","44","72","07:09:10","1133","18516","439293","4601649","5060591","57"
"74bc5007-f8cb-4fa9-a3e4-e41e7d8c43ab","2026-06-05 21:58:36","430","226","129","01:14:25","19885","193184","1346009","24416995","25976073","124"
"b46ef35f-172f-47ea-9588-af627212cf82","2026-06-07 21:23:28","431","191","142","06:10:08","3545","89577","1142934","13545217","14781273","120"
"7f53f402-293c-4f18-b0b7-e07d6f9bdbf1","2026-06-07 21:24:49","10","2","1","00:00:17","6","1410","26756","47932","76104","0"
"18ecfddb-63a2-4150-b762-d0e9fceef4c2","2026-06-08 16:51:51","8","1","1","00:00:02","6329","10","7132","12794","26265","0"
"8e488385-5dfe-4d83-bd41-2d72b0823945","2026-06-08 16:54:48","25","9","6","00:01:52","19115","27708","79923","217204","343950","4"
"a682ae62-fc69-4121-91be-44eef5972931","2026-06-08 17:03:35","220","124","57","00:31:15","90745","285403","430458","12628268","13434874","50"
"f2c2c835-884d-4b0d-b996-bb5488b8ef95","2026-06-09 01:55:48","118","59","32","08:50:59","99","53832","320038","3177092","3551061","28"
"13c4e503-9363-48dd-a9ad-74ef77bbcfe7","2026-06-09 19:07:58","15","4","2","00:04:07","19","9804","80633","116879","207335","1"
"0f7cd660-8f8e-4b91-9164-96314c7ff0aa","2026-06-10 16:10:34","29","11","8","00:02:32","19037","33626","71149","294996","418808","6"
"134c32d5-dd4b-4c11-a407-2d2fc4bf1da7","2026-06-10 21:08:29","204","79","63","06:43:20","234","55948","1057925","4705143","5819250","53"
"d3447689-0bbe-4781-9a35-84cb204e00a0","2026-06-10 23:48:23","49","20","11","00:12:48","42083","25825","155469","916348","1139725","7"
"2c333025-46a1-4ecc-9c36-a5bdeafe91b6","2026-06-10 23:54:17","76","38","18","00:18:21","41267","34030","175859","2371948","2623104","14"
"a00cffd7-950f-4ba1-afe5-5ad36172a555","2026-06-10 23:56:31","427","211","90","08:34:45","89918","255823","1232147","23064813","24642701","71"
"4a66c101-7aeb-4d15-9496-3b56fcb1e0fc","2026-06-11 08:44:20","32","14","8","00:02:55","24916","43645","95584","368091","532236","6"
"16d12fd7-d38d-412a-85a3-3729fd34cdf0","2026-06-11 08:51:32","62","30","15","00:09:34","39979","49055","183887","1635916","1908837","12"
"6dcd6e3c-5a39-4810-ac9a-6645112b78ed","2026-06-11 14:08:42","176","78","48","01:06:03","26410","52426","427014","5024515","5530365","46"
